Timestamp,Temperature,External_Temp,Humidity,CO2,Ammonia,Pressure,Power_OK,Sensor_ID
2025-04-21 16:50:15,21.3,21.4,49.2,693,15.6,26.2,true,ARRAY001
2025-04-21 16:52:15,21.3,21.2,50.1,753,15.8,24.6,true,ARRAY001
2025-04-21 16:53:15,21.8,21.7,48.9,782,14.9,25.4,true,ARRAY001
2025-04-21 16:54:15,21.7,21.7,48.9,784,15.4,27.3,true,ARRAY001
2025-04-21 16:55:15,22.2,22.3,47.7,741,15.4,25.9,true,ARRAY001
2025-04-21 16:56:15,23.0,22.9,48.8,706,15.7,27.2,true,ARRAY001
2025-04-21 16:57:15,22.5,23.1,48.1,707,15.4,27.3,true,ARRAY001
2025-04-21 16:58:15,22.3,22.3,49.5,684,15.3,26.7,true,ARRAY001
2025-04-21 16:59:15,22.2,22.4,49.6,627,14.9,28.8,true,ARRAY001
2025-04-21 17:00:15,22.9,23.6,49.8,617,15.5,30.2,true,ARRAY001
2025-04-21 17:03:15,25.3,25.5,49.2,579,14.0,28.9,true,ARRAY001
2025-04-21 17:04:15,25.8,25.7,50.2,531,14.9,28.6,true,ARRAY001
2025-04-21 17:05:15,25.3,25.5,52.1,487,14.2,29.8,true,ARRAY001
2025-04-21 17:12:15,27.3,26.7,57.8,595,13.1,26.0,true,ARRAY001
2025-04-21 17:13:15,27.2,27.2,56.8,560,14.0,26.5,true,ARRAY001
2025-04-21 17:14:15,27.3,27.0,57.0,577,15.2,28.0,true,ARRAY001
2025-04-21 17:15:15,27.0,27.3,55.9,539,15.9,28.0,true,ARRAY001
2025-04-21 17:16:15,27.6,27.2,56.6,591,16.5,28.0,true,ARRAY001
2025-04-21 17:17:15,26.8,26.6,57.6,612,17.0,27.5,true,ARRAY001
2025-04-21 17:18:15,26.1,25.9,59.9,568,16.6,26.2,true,ARRAY001
2025-04-21 17:19:15,25.6,26.3,58.7,542,15.8,26.3,true,ARRAY001
2025-04-21 17:20:15,26.6,26.1,57.5,500,15.6,25.8,true,ARRAY001
2025-04-21 17:21:16,25.6,25.8,57.1,535,16.0,25.5,true,ARRAY001
2025-04-21 17:22:16,26.1,25.9,56.8,574,15.7,23.3,true,ARRAY001
2025-04-21 17:23:16,26.8,25.8,55.1,610,14.7,23.8,true,ARRAY001
2025-04-21 17:24:16,26.6,25.8,55.9,591,14.8,25.7,true,ARRAY001
2025-04-21 17:25:16,26.4,26.4,56.4,584,14.0,26.6,true,ARRAY001
2025-04-21 17:26:16,26.6,25.8,56.8,579,13.4,27.9,true,ARRAY001
2025-04-21 17:29:16,25.7,25.9,57.4,523,14.3,29.0,true,ARRAY001
2025-04-21 17:30:16,25.7,25.5,58.7,541,14.6,28.1,true,ARRAY001
2025-04-21 17:44:53,24.8,25.2,60.1,805,10.2,23.4,true,ARRAY001
2025-04-21 17:46:53,25.7,25.8,61.8,796,11.3,26.0,true,ARRAY001
2025-04-21 17:47:53,25.5,25.6,60.5,831,10.9,26.1,true,ARRAY001
2025-04-21 17:48:53,24.7,25.6,62.3,834,10.8,24.1,true,ARRAY001
2025-04-21 17:50:53,26.1,27.0,64.2,826,12.2,20.9,true,ARRAY001
2025-04-21 17:51:53,26.6,26.8,66.0,841,12.5,20.8,true,ARRAY001
2025-04-21 17:52:53,26.9,26.2,63.2,814,12.6,19.7,true,ARRAY001
2025-04-21 17:54:27,24.9,24.6,60.4,840,9.4,24.4,true,ARRAY001
2025-04-21 17:55:27,24.6,24.8,59.3,859,9.7,24.6,true,ARRAY001
2025-04-21 17:55:50,24.9,24.9,60.5,829,9.7,24.4,true,ARRAY001
2025-04-21 17:56:50,24.3,24.2,61.7,823,10.6,24.1,true,ARRAY001
2025-04-21 17:57:51,23.9,24.0,63.3,844,10.5,22.8,true,ARRAY001
2025-04-21 17:59:31,25.3,25.0,58.8,805,10.7,23.8,true,ARRAY001
